id,lang,path,sr,text
1,en,eno/1.wav,16000,AFTER A LONG DAY OF PLAYING OUTSIDE, THE CAT SAT ON THE WELCOME MAT OUTSIDE THE DOOR, LICKING ITS PAWS CONTENTEDLY. 
2,en,eno/2.wav,16000,JOHN, A TALL AND ATHLETIC YOUNG MAN WITH A PASSION FOR BASKETBALL, SPENDS HOURS EACH DAY PRACTICING HIS SHOTS AND DRIBBLING. 
3,en,eno/3.wav,16000,THE SKY, A VAST AND ENDLESSLY FASCINATING EXPANSE OF BLUE, CAN EVOKE FEELINGS OF PEACE, JOY, OR EVEN MELANCHOLY, DEPENDING ON THE VIEWER'S MOOD. 
4,en,eno/4.wav,16000,AS THE MAILMAN WALKED PAST THE HOUSE, THE DOG BARKED FEROCIOUSLY, ITS FUR BRISTLING AND TEETH BARED. 
5,en,eno/5.wav,16000,IN A RUSH TO GET HOME AND MAKE DINNER FOR HER FAMILY, MARY QUICKLY WALKED TO THE STORE TO BUY A CARTON OF MILK, HER SHOPPING LIST IN HAND. 
6,en,eno/6.wav,16000,THE SUN, A BLAZING BALL OF GAS MILLIONS OF MILES AWAY, CREPT OVER THE HORIZON, CASTING ITS GOLDEN RAYS ACROSS THE WORLD BELOW. 
7,en,eno/7.wav,16000,WHETHER IT'S EXPLORING ALIEN PLANETS OR BATTLING INTERGALACTIC FOES, SCIENCE FICTION NOVELS HAVE CAPTIVATED READERS FOR DECADES WITH THEIR IMAGINATIVE AND THOUGHT-PROVOKING STORIES. 
8,en,eno/8.wav,16000,THE WATER IN THE LAKE, A SHIMMERING AND SERENE BODY OF BLUE, REFLECTED THE TREES AND MOUNTAINS AROUND IT LIKE A MIRROR. 
9,en,eno/9.wav,16000,WITH A GUITAR IN HIS HANDS AND A SONG IN HIS HEART, BOB STRUMS AND SINGS WITH A PASSION THAT INSPIRES EVERYONE WHO HEARS HIM. 
10,en,eno/10.wav,16000,THE FLOWERS IN THE GARDEN, A RIOT OF COLORS AND FRAGRANCES, BLOOMED IN A RIOTOUS PROFUSION THAT DREW BEES AND BUTTERFLIES FROM FAR AND WIDE. 
11,en,eno/11.wav,16000,SARAH AND TOM, TWO INTREPID HIKERS WITH A LOVE OF ADVENTURE, SET OUT EARLY ONE MORNING TO EXPLORE THE RUGGED PEAKS OF THE NEARBY MOUNTAINS. 
